Latin,English
error -ōris m.,"wandering; error, mistake"
"forsitan, fortasse","perhaps, perchance"
convertō -vertere -vertī -versum,"turn about, turn, change"
proficīscor -ficīscī -fectus sum,"set forth, go"
secundus -a -um,following
aperiō aperīre aperuī apertum,open
castus -a -um,"pure, spotless, chaste"
iūdex iūdicis m.,"judge, juror"
lapis lapidis m.,stone
nimis or nimium,excessively
onus oneris n.,"load, burden"
opera -ae f.,"labor, activity, work"
pauper -eris,"poor, lowly"
āēr āeris m.,air
negōtium -ī n.,business
pāreō pārēre pāruī,obey
subitō,"suddenly, unexpectedly"
argentum -ī n.,"silver, money"
ūtilis -e,useful
aethēr aetheris n.,"pure upper air, ether, heaven, sky"
mereō merēre meruī meritum,"deserve, merit; serve as a soldier"
portō -āre,carry a load
proprius -a -um,"one’s own, peculiar"
avis -is f.,bird
vanus -a -um,"empty; false, deceitful"
paucī -ae -a,"few, a few"
voluntās -ātis f.,"wish, desire"
ēgregius -a -um,"distinguished, uncommon"
difficilis -e,"not easy, hard, difficult"
gladius -ī m.,sword
certō -āre,"decide by contest; fight, compete, vie"
initium -ī n.:,beginning
pertineō -tinēre -tinuī,"extend over, reach; refer to, pertain to, be the business of"
quattuor,four
turbō -āre,"disturb, confuse"
corrumpō -rumpere -rūpī -ruptum,"break up, destroy, ruin"
incidō incidere incidī,"fall upon, fall into; happen"
"paulō, paulum","to only a small extent, slightly, a little"
hospes hospitis m.,"guest, guest-friend; stranger; host"
rīdeō -ēre rīsī rīsum,"laugh, laugh at"
aevum -i n.,"eternity; lifetime, age"
audāx audācis,"bold, daring; reckless"
posterus -a -um,"next, later"
praetor -ōris m.,"praetor, one of the chief Roman magistrates"
rūs rūris n.,country
differō differre distulī dīlātum,"scatter; publish, divulge; differ; defer, postpone"
vītō -āre,"avoid, shun"
prīvātus -a -um,"personal, private"
serviō -īre,"be a slave, serve (+ dat.)"
ingredior -gredī -gressus sum:,"step in, enter"
addūcō -ere -dūxī -ductum,"lead to, induce"
hortor hortārī hortātus sum,"urge strongly, advise, exhort"
reus -ī m.,defendant
scīlicet,"certainly, of course"
comparō -āre,"get ready, provide; compare"
perpetuus -a -um,"unbroken, perpetual"
dēsīderō -āre,"long for, desire greatly"
celebrō -āre,"frequent, throng, crowd"
cōnficiō -ficere -fēcī -fectum,"complete, accomplish; destroy, kill, consume"
intendō -tendere -tendī -tentum:,"stretch out, strain"
iūrō -āre,"take an oath, swear; iūs iūrandum, oath"
sōlum,"only, merely"
auctōritās -ātis f.,"influence, clout, authority"
iaciō iacere iēcī iactum,"throw, hurl"
labōrō -āre,"toil, work; be in trouble or distress"
liber librī m.,book
lūna -ae f.,moon
prōtinus,"at once, forthwith"
aequē,equally
cupīdō -inis f.,"desire, eagerness, craving"
ferē,almost
īnsula -ae f.:,island
narrō -āre,"relate, recount"
necessitās -tātis f.,"necessity, need"
ēgredior ēgredī ēgressus sum,"stride out, depart, disembark from (+ abl.)"
poēta -ae m.,poet
decem,ten
amplus -a -um,"large, spacious"
aptus -a -um,"fit, suitable"
cōnsequor -sequī -secūtus sum,"follow up, overtake, attain"
frequēns -ntis,"in large numbers, often"
nūntius -ī m.,messenger
convīvium -iī n.,"banquet, feast"
foedus -a -um,foul
fruor fruī frūctus sum,"enjoy the produce of, profit by, use (+ abl.)"
num,interrogative particle implying negative answer
albus -a -um,white
frūctus -ūs m.,"fruit, crops; enjoyment, delight"
cēnseō cēnsēre cēnsuī cēnsum,"assess, rate; think, decide"
prōdō prōdere prōdidī prōditum,"publish, hand down; give over, betray"
prōpōnō -pōnere -posuī -positum,"put forth, propose, present"
īnstituō -stituere -stituī -stitūtum:,undertake
item,likewise
magister magistrī m.,"master, chief"
stella -ae f.,star
ēdūcō -dūcere -dūxī -ductum,lead forth
frūmentum -ī n.,grain
suscipiō -cipere -cēpī ceptum,take up
quasi,as if
vīcīnus -a -um,"neighboring, near"
caveō cavēre cāvī cautum,"be on guard, beware"
ēligō ēligere ēlēgī ēlēctum,"pick out, select"
familia -ae f.,"household, family"
paene,almost
praecipiō -cipere -cēpī -ceptum,"anticipate, advise, warn"
sānus -a -um,"sound, sane"
potis -e,"powerful, able"
prīncipium -ī n.,beginning
sepulcrum -ī n.,"place of burial, tomb, grave"
mortālis -e,"liable to death, mortal; (as subst.) a mortal"
epistula -ae f.,letter
inimīcus -a -um:,unfriendly
interrogō -āre,"put a question to, ask (+ acc.)"
cōnsuētūdo -inis f.,"custom, habit"
illūc,to that place
dīgnitās -ātis f.,"worth, reputation, honor"
fugō -āre,put to flight
afficiō -ficere -fēcī -fectum,"affect, visit with (+ abl.)"
adhibeō -hibēre -hibuī -hibitum,apply
caelestis -e,"from or of heaven; caelestēs, the gods"
mulier -eris f.,woman
dīvus -a -um,"divine, godlike; (as subst.) a god"
arbitror arbitrārī arbitrātus sum,"consider, think"
posteā,afterwards
aedēs -is f.,building
celeriter,quickly
plērus- plēra- plērumque,"the greater part, very many, most, the majority"
quiēscō quiēscere quiēvī quiētum,keep quiet
quotiēns,"interr. how many times? how often? rel. as often as, whenever"
scientia -ae f.,knowledge
cōnfiteor cōnfitērī cōnfessus sum,"admit (a fact), confess (a crime); reveal, disclose"
dīligō -ligere -lēxī -lēctum,"choose, cherish, love"
plērumque,generally
dormiō -īre,sleep
volucris -is f./m.,bird
volucer -cris -cre,flying
creō -āre,"produce, create; elect, choose"
fidēlis -e,faithful
indicō -āre,"point out, show, make known"
hodiē,today
disciplīna -ae f.,"training, instruction; learning, discipline"
aegrē,with difficulty
fore, door
advertō -vertere -vertī -versum,turn towards
adveniō -īre -vēnī -ventum,"come to, arrive at"
studeō -ēre -uī,"be eager, be zealous, care for (+ dat.)"
ascendō -ere -scendī -scēnsum,"climb up, ascend"
vulgō,commonly
breviter,briefly
fors fortis f.,chance
fēlīciter,luckily
revertō -vertere -vertī,turn back
ēdīcō -dīcere -dīxī -dictum,declare
mundus -a -um,"clean, neat, elegant"
